"Name","Status","DisplayName"
"IKEEXT","Stopped","IKE and AuthIP IPsec Keying Modules"
"InstallService","Running","Microsoft Store Install Service"
"Intel(R) Capability Licensing Service TCP IP Interface","Stopped","Intel(R) Capability Licensing Service TCP IP Interface"
"Intel(R) TPM Provisioning Service","Running","Intel(R) TPM Provisioning Service"
"IntelAudioService","Stopped","Intel(R) Audio Service"
"InventorySvc","Running","Inventory and Compatibility Appraisal service"
"iphlpsvc","Running","IP Helper"
"IpxlatCfgSvc","Stopped","IP Translation Configuration Service"
"jhi_service","Running","Intel(R) Dynamic Application Loader Host Interface Service"
"KeyIso","Running","CNG Key Isolation"
"KtmRm","Stopped","KtmRm for Distributed Transaction Coordinator"
"LanmanServer","Running","Server"
"LanmanWorkstation","Running","Workstation"
"Lenovo Instant On","Running","Lenovo EasyResume Service"
"LenovoSmartStandbyInst","Stopped","Lenovo Smart Standby Install Helper"
"lfsvc","Running","Geolocation Service"
"LicenseManager","Running","Windows License Manager Service"
"LITSSVC","Stopped","Lenovo Intelligent Thermal Solution Service"
"lltdsvc","Stopped","Link-Layer Topology Discovery Mapper"
"lmhosts","Running","TCP/IP NetBIOS Helper"
"LMS","Running","Intel(R) Management and Security Application Local Management Service"
"LPlatSvc","Stopped","Lenovo Platform Service"
"LSM","Running","Local Session Manager"
"LxpSvc","Stopped","Language Experience Service"
"LxssManager","Stopped","LxssManager"
"MapsBroker","Stopped","Downloaded Maps Manager"
"McpManagementService","Stopped","McpManagementService"
"MDCoreSvc","Stopped","Microsoft Defender Core Service"
"MessagingService_32e6a6a5","Stopped","MessagingService_32e6a6a5"
"MicrosoftEdgeElevationService","Running","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"MixedRealityOpenXRSvc","Stopped","Windows Mixed Reality OpenXR Service"
"MozillaMaintenance","Stopped","Mozilla Maintenance Service"
"mpssvc","Running","Windows Defender Firewall"
"MSDTC","Stopped","Distributed Transaction Coordinator"
"MSiSCSI","Stopped","Microsoft iSCSI Initiator Service"
"msiserver","Stopped","Windows Installer"
"MsKeyboardFilter","Stopped","Microsoft Keyboard Filter"
"MySQL80","Running","MySQL80"
"NaturalAuthentication","Stopped","Natural Authentication"
"NcaSvc","Stopped","Network Connectivity Assistant"
"NcbService","Running","Network Connection Broker"
"NcdAutoSetup","Stopped","Network Connected Devices Auto-Setup"
"Netlogon","Stopped","Netlogon"
"Netman","Stopped","Network Connections"
"netprofm","Running","Network List Service"
"NetSetupSvc","Stopped","Network Setup Service"
"NetTcpPortSharing","Stopped","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Stopped","Microsoft Passport Container"
"NgcSvc","Stopped","Microsoft Passport"
"NlaSvc","Running","Network Location Awareness"
"NPSMSvc_32e6a6a5","Running","NPSMSvc_32e6a6a5"
"nsi","Running","Network Store Interface Service"
"nvagent","Running","Network Virtualization Service"
"NVDisplay.ContainerLocalSystem","Running","NVIDIA Display Container LS"
"NVWMI","Running","NVWMI"
"OneDrive Updater Service","Stopped","OneDrive Updater Service"
"OneSyncSvc_32e6a6a5","Running","Sync Host_32e6a6a5"
"p2pimsvc","Stopped","Peer Networking Identity Manager"
"p2psvc","Stopped","Peer Networking Grouping"
"P9RdrService_32e6a6a5","Stopped","P9RdrService_32e6a6a5"
"PcaSvc","Running","Program Compatibility Assistant Service"
"PeerDistSvc","Stopped","BranchCache"
"PenService_32e6a6a5","Stopped","PenService_32e6a6a5"
"perceptionsimulation","Stopped","Windows Perception Simulation Service"
"PerfHost","Stopped","Performance Counter DLL Host"
"PhoneSvc","Running","Phone Service"
"PimIndexMaintenanceSvc_32e6a6a5","Running","Contact Data_32e6a6a5"
"pla","Stopped","Performance Logs & Alerts"
"PlugPlay","Running","Plug and Play"
"PNRPAutoReg","Stopped","PNRP Machine Name Publication Service"
"PNRPsvc","Stopped","Peer Name Resolution Protocol"
"PolicyAgent","Running","IPsec Policy Agent"
"Power","Running","Power"
"PrintNotify","Stopped","Printer Extensions and Notifications"
"PrintWorkflowUserSvc_32e6a6a5","Stopped","PrintWorkflow_32e6a6a5"
"ProfSvc","Running","User Profile Service"
"PushToInstall","Stopped","Windows PushToInstall Service"
"QWAVE","Running","Quality Windows Audio Video Experience"
"RasAuto","Stopped","Remote Access Auto Connection Manager"
"RasMan","Running","Remote Access Connection Manager"
"RemoteAccess","Stopped","Routing and Remote Access"
"RemoteRegistry","Stopped","Remote Registry"
"RetailDemo","Stopped","Retail Demo Service"
"RmSvc","Running","Radio Management Service"
"RpcEptMapper","Running","RPC Endpoint Mapper"
"RpcLocator","Stopped","Remote Procedure Call (RPC) Locator"
"RpcSs","Running","Remote Procedure Call (RPC)"
"RstMwService","Stopped","Intel(R) Storage Middleware Service"
"RtkAudioUniversalService","Running","Realtek Audio Universal Service"
"SamSs","Running","Security Accounts Manager"
"SamsungQuickShareService","Running","Quick Share"
"SCardSvr","Running","Smart Card"
"ScDeviceEnum","Stopped","Smart Card Device Enumeration Service"
"Schedule","Running","Task Scheduler"
"SCPolicySvc","Stopped","Smart Card Removal Policy"
"SDRSVC","Stopped","Windows Backup"
"seclogon","Running","Secondary Logon"
"SecurityHealthService","Running","Windows Security Service"
"SEMgrSvc","Stopped","Payments and NFC/SE Manager"
"SENS","Running","System Event Notification Service"
"Sense","Stopped","Windows Defender Advanced Threat Protection Service"
"SensorDataService","Stopped","Sensor Data Service"
"SensorService","Stopped","Sensor Service"
"SensrSvc","Stopped","Sensor Monitoring Service"
"SessionEnv","Stopped","Remote Desktop Configuration"
"SharedAccess","Running","Internet Connection Sharing (ICS)"
"SharedRealitySvc","Stopped","Spatial Data Service"
"SHAREitService","Running","SHAREitService"
"ShellHWDetection","Running","Shell Hardware Detection"
"shpamsvc","Stopped","Shared PC Account Manager"
"smphost","Stopped","Microsoft Storage Spaces SMP"
"SmsRouter","Stopped","Microsoft Windows SMS Router Service."
"SNMPTrap","Stopped","SNMP Trap"
"spectrum","Stopped","Windows Perception Service"
"Spooler","Running","Print Spooler"
"sppsvc","Stopped","Software Protection"
"SSDPSRV","Running","SSDP Discovery"
"ssh-agent","Stopped","OpenSSH Authentication Agent"
"SstpSvc","Running","Secure Socket Tunneling Protocol Service"
"StateRepository","Running","State Repository Service"
"StiSvc","Running","Windows Image Acquisition (WIA)"
"StorSvc","Running","Storage Service"
"svsvc","Stopped","Spot Verifier"
"swprv","Stopped","Microsoft Software Shadow Copy Provider"
"SynTPEnhService","Running","SynTPEnhService"
"SysMain","Running","SysMain"
"SystemEventsBroker","Running","System Events Broker"
"TapiSrv","Stopped","Telephony"
"TeamViewer","Running","TeamViewer"
